bacru
gletu
glico
gluta
gocti
gotro
gradu
grake
grana
grasu
greku
grusi
grute
gubni
gugde
gundi
gunka
gunma
gunro
gunse
gunta
gurni
guska
gusni
gusta
gutci
gutra
guzme
jabre
jadni
jakne
jalge
jalna
jalra
jamfu
jamna
janbe
janco
janli
jansu
janta
jarbu
jarco
jarki
jaspu
jatna
javni
jbama
jbari
jbena
jbera
jbini
jdari
jdice
jdika
jdima
jdini
jduli
jecta
jeftu
jegvo
jelca
jemna
jenca
jendu
jenmi
jerna
jersi
jerxo
jesni
jetce
jetnu
jgalu
jganu
jgari
jgena
jgina
jgira
jgita
jibni
jibri
jicla
jicmu
jijnu
jikca
jikru
jilka
jilra
jimca
jimpe
jimte
jinci
jinga
jinku
jinme
jinru
jinsa
jinto
jinvi
jinzi
jipci
jipno
jirna
jisra
jitfa
jitro
jivbu
jivna
jmaji
jmifa
jmina
jmive
jordo
jorne
jubme
judri
jufra
jukni
jukpa
julne
jundi
jungo
junla
junri
junta
jurme
jursa
jutsi
juxre
jvinu
kabri
kacma
kadno
kafke
kagni
kajde
kajna
kakne
kakpa
kalci
kalri
kalsa
kalte
kamju
kamni
kampu
kanba
kancu
kandi
kanji
kanla
kanro
kansa
kantu
kanxe
karbi
karce
karda
kargu
karli
karni
katna
kavbu
kecti
kelci
kelvo
kenra
kensa
kerfa
kerlo
ketco
kevna
kicne
kijno
kilto
kinli
kisto
klaji
klaku
klama
klani
klesi
klina
kliru
kliti
klupe
kluza
kobli
kojna
kolme
komcu
konju
korbi
korcu
korka
kosta
kramu
krasi
krati
krefu
krici
krili
krinu
krixa
kruca
kruji
kruvi
kubli
kucli
kufra
kukte
kulnu
kumfa
kumte
kunra
kunti
kurfa
kurji
kurki
kuspe
kusru
labno
lacpu
lacri
ladru
lafti
lakne
lakse
lalxu
lamji
lanbi
lanci
lanka
lanli
lanme
lante
lanxe
lanzu
larcu
lasna
lastu
latmo
latna
lazni
lebna
lenjo
lenku
lerci
lerfu
libjo
lidne
lifri
lijda
limna
lindi
linji
linsi
linto
lisri
liste
litce
litki
litru
livga
livla
logji
lojbo
loldi
lorxu
lubno
lujvo
lumci
lunbe
lunra
lunsa
mabla
mabru
macnu
makcu
makfa
maksi
malsi
mamta
manci
manfo
manku
manri
mansa
manti
mapku
mapni
mapti
marbi
marce
marde
margu
marji
marna
marxa
masno
masti
matci
matli
matne
matra
mavji
maxri
mebri
megdo
mekso
melbi
meljo
menli
mensi
mentu
merko
merli
mexno
midju
mifra
mikce
mikri
milti
milxe
minde
minji
minli
minra
mintu
mipri
mirli
misno
misro
mitre
mixre
mlana
mlatu
mleca
mledi
mluni
mokca
moklu
molki
molro
morji
morko
morna
morsi
mosra
mraji
mrilu
mruli
mucti
mudri
mukti
mulno
munje
mupli
murse
murta
muslo
mutce
muvdu
muzga
nabmi
nakni
nalci
namcu
nanba
nanca
nandu
nanla
nanmu
nanvi
narge
narju
natfe
natmi
navni
naxle
nazbi
nejni
nelci
nenri
nibli
nicte
nikle
nilce
nimre
ninmu
nirna
nitcu
nivji
nixli
nobli
notci
nukni
nupre
nurma
nutli
nuzba
pacna
pagbu
pagre
pajni
palci
palku
palne
palta
pambe
panci
pandi
panje
panka
panlo
panpi
panra
pante
panzi
papri
parbi
pastu
patfu
patlu
patxu
pelji
pelxu
pemci
penbi
pencu
pendo
penmi
pensi
perli
pesxu
petso
pezli
picti
pijne
pikci
pikta
pilji
pilka
pilno
pimlu
pinca
pindi
pinfu
pinji
pinka
pinsi
pinta
pinxe
pipno
pixra
plana
platu
pleji
plibu
plini
plipe
plise
plita
plixa
pluja
pluka
pluta
polje
polno
ponjo
ponse
porpi
porsi
porto
prali
prami
prane
preja
prenu
preti
prije
prina
pritu
prosa
pruce
pruni
pruxi
pulce
pulji
pulni
punji
punli
purci
purdi
purmo
racli
ractu
radno
rafsi
ragve
rakso
raktu
ralci
ralju
ralte
randa
rango
ranji
ranmi
ransu
ranti
ranxi
rapli
rarna
ratcu
ratni
rebla
rectu
remna
renro
renvi
respa
ricfu
rigni
rijno
rilti
rimni
rinci
rinju
rinka
rinsa
rirci
rirni
rirxe
rismi
risna
ritli
rivbi
rokci
romge
ropno
rorci
rotsu
rozgu
ruble
rufsu
runme
runta
rupnu
rusko
rutni
sabji
sabnu
sacki
saclu
sadjo
sakci
sakli
sakta
salci
salpo
salta
samcu
sampu
sance
sanga
sanji
sanli
sanmi
sanso
santa
sarcu
sarji
sarlu
sarxe
saske
satci
satre
savru
sazri
sefta
selci
selfu
semto
senci
senpi
senta
senva
sepli
serti
setca
sevzi
sfani
sfasa
sfofa
sfubu
siclu
sicni
sidbo
sidju
sigja
silka
silna
simlu
simsa
simxu
since
sinma
sinso
sinxa
sipna
sirji
sirxo
sisku
sisti
sitna
sivni
skaci
skami
skapi
skari
skicu
skiji
skina
skori
skoto
skuro
slabu
slaka
slami
slanu
slari
slasi
sligu
slilu
sliri
slovo
sluji
sluni
smacu
smadi
smaji
smani
smoka
smuci
smuni
snada
snanu
snidu
snime
snipa
snuji
snura
snuti
sobde
sodna
sodva
softo
solji
solri
sombo
sonci
sorcu
sorgu
sovda
spaji
spali
spano
spati
speni
spisa
spita
spofu
spoja
spuda
sputu
sraji
sraku
sralo
srana
srasu
srera
srito
sruma
sruri
stace
stagi
staku
stali
stani
stapa
stasu
stati
steba
steci
stedu
stela
stero
stici
stidi
stika
stizu
stodi
stuna
stura
stuzi
sucta
sudga
sufti
suksa
sumji
sumne
sumti
sunga
sunla
surla
sutra
tabno
tabra
tadji
tadni
tagji
talsa
tamca
tamji
tamne
tanbo
tance
tanjo
tanko
tanru
tansi
tanxe
tapla
tarbi
tarci
tarla
tarmi
tarti
taske
tatpi
tatru
tavla
taxfu
tcaci
tcadu
tcana
tcati
tcena
tcica
tcidu
tcika
tcila
tcima
tcini
tcita
temci
tenfa
tengu
terdi
terpa
terto
tigni
tikpa
tilju
tinbe
tinci
tinsa
tirna
tirse
tirxu
tisna
titla
tivni
tixnu
toknu
toldi
tonga
tordu
torni
traji
trano
trati
trene
tricu
trina
trixe
troci
tsali
tsani
tsapi
tsiju
tsina
tubnu
tugni
tujli
tumla
tunba
tunka
tunlo
tunta
tuple
turni
tutci
tutra
vacri
vajni
valsi
vamji
vamtu
vanbi
vanci
vanju
vasru
vasxu
vecnu
venfu
vensa
verba
vibna
vidni
vidru
vifne
vikmi
viknu
vimcu
vindu
vinji
vipsi
virnu
viska
vitci
vitke
vitno
vlagi
vlile
vlina
vlipa
vofli
voksa
vorme
vraga
vreji
vreta
vrici
vrude
vrusi
vukro
xabju
xadba
xadni
xagji
xagri
xajmi
xaksu
xalbo
xalka
xalni
xamgu
xampo
xamsi
xance
xanka
xanri
xanto
xarci
xarju
xarnu
xasli
xasne
xatra
xatsi
xazdo
xebni
xebro
xecto
xedja
xekri
xelso
xendo
xenru
xexso
xindo
xinmo
xirma
xislu
xispo
xlali
xlura
xotli
xrabo
xrani
xriso
xruba
xruki
xrula
xruti
xukmi
xunre
xurdo
xusra
xutla
zabna
zajba
zalvi
zanru
zarci
zargu
zasni
zasti
zbabu
zbani
zbasu
zbepi
zdani
zdile
zekri
zenba
zepti
zetro
zgana
zgike
zifre
zinki
zirpu
zivle
zmadu
zmiku
zukte
zumri
zungi
zunle
zunti
zutse
zvati
a
a'a
a'e
ai
a'i
a'o
au
a'u
ba
ba'a
ba'e
bai
ba'i
ba'o
bau
ba'u
be
be'a
be'e
bei
be'i
be'o
be'u
bi
bi'e
bi'i
bi'o
bi'u
bo
boi
bu
bu'a
bu'e
bu'i
bu'o
bu'u
by
ca
ca'a
ca'e
cai
ca'i
ca'o
cau
ca'u
ce
ce'a
ce'e
cei
ce'i
ce'o
ce'u
ci
ci'e
ci'i
ci'o
ci'u
co
co'a
co'e
coi
co'i
co'o
co'u
cu
cu'a
cu'e
cu'i
cu'o
cu'u
cy
da
da'a
da'e
dai
da'i
da'o
dau
da'u
de
de'a
de'e
dei
de'i
de'o
de'u
di
di'a
di'e
di'i
di'o
di'u
do
do'a
do'e
doi
do'i
do'o
do'u
du
du'a
du'e
du'i
du'o
du'u
dy
e
e'a
e'e
ei
e'i
e'o
e'u
fa
fa'a
fa'e
fai
fa'i
fa'o
fau
fa'u
fe
fe'a
fe'e
fei
fe'i
fe'o
fe'u
fi
fi'a
fi'e
fi'i
fi'o
fi'u
fo
fo'a
fo'e
foi
fo'i
fo'o
fo'u
fu
fu'a
fu'e
fu'i
fu'o
fu'u
fy
ga
ga'a
ga'e
gai
ga'i
ga'o
gau
ga'u
ge
ge'a
ge'e
gei
ge'i
ge'o
ge'u
gi
gi'a
gi'e
gi'i
gi'o
gi'u
go
go'a
go'e
goi
go'i
go'o
go'u
gu
gu'a
gu'e
gu'i
gu'o
gu'u
gy
i
ia
i'a
ie
i'e
ii
i'i
io
i'o
iu
i'u
ja
ja'a
ja'e
jai
ja'i
ja'o
jau
je
je'a
je'e
jei
je'i
je'o
je'u
ji
ji'a
ji'e
ji'i
ji'o
ji'u
jo
jo'a
jo'e
joi
jo'i
jo'o
jo'u
ju
ju'a
ju'e
ju'i
ju'o
ju'u
jy
ka
ka'a
ka'e
kai
ka'i
ka'o
kau
ka'u
ke
ke'a
ke'e
kei
ke'i
ke'o
ke'u
ki
ki'a
ki'e
ki'i
ki'o
ki'u
ko
ko'a
ko'e
koi
ko'i
ko'o
ko'u
ku
ku'a
ku'e
ku'i
ku'o
ku'u
ky
la
la'a
la'e
lai
la'i
la'o
lau
la'u
le
le'a
le'e
lei
le'i
le'o
le'u
li
li'a
li'e
li'i
li'o
li'u
lo
lo'a
lo'e
loi
lo'i
lo'o
lo'u
lu
lu'a
lu'e
lu'i
lu'o
lu'u
ly
ma
ma'a
ma'e
mai
ma'i
ma'o
mau
ma'u
me
me'a
me'e
mei
me'i
me'o
me'u
mi
mi'a
mi'e
mi'i
mi'o
mi'u
mo
mo'a
mo'e
moi
mo'i
mo'o
mo'u
mu
mu'a
mu'e
mu'i
mu'o
mu'u
my
na
na'a
na'e
nai
na'i
na'o
nau
na'u
ne
ne'a
nei
ne'i
ne'o
ne'u
ni
ni'a
ni'e
ni'i
ni'o
ni'u
no
no'a
no'e
noi
no'i
no'o
no'u
nu
nu'a
nu'e
nu'i
nu'o
nu'u
ny
o
o'a
o'e
oi
o'i
o'o
o'u
pa
pa'a
pa'e
pai
pa'i
pa'o
pau
pa'u
pe
pe'a
pe'e
pei
pe'i
pe'o
pe'u
pi
pi'a
pi'e
pi'i
pi'o
pi'u
po
po'e
poi
po'i
po'o
po'u
pu
pu'a
pu'e
pu'i
pu'o
pu'u
py
ra
ra'a
ra'e
rai
ra'i
ra'o
rau
ra'u
re
re'a
re'e
rei
re'i
re'o
re'u
ri
ri'a
ri'e
ri'i
ri'o
ri'u
ro
ro'a
ro'e
roi
ro'i
ro'o
ro'u
ru
ru'a
ru'e
ru'i
ru'o
ru'u
ry
sa
sa'a
sa'e
sai
sa'i
sa'o
sau
sa'u
se
se'a
se'e
sei
se'i
se'o
se'u
si
si'a
si'e
si'i
si'o
si'u
so
so'a
so'e
soi
so'i
so'o
so'u
su
su'a
su'e
su'i
su'o
su'u
sy
ta
ta'a
ta'e
tai
ta'i
ta'o
tau
ta'u
te
te'a
te'e
tei
te'o
te'u
ti
ti'a
ti'e
ti'i
ti'o
ti'u
to
to'a
to'e
toi
to'i
to'o
to'u
tu
tu'a
tu'e
tu'i
tu'o
tu'u
ty
u
ua
u'a
ue
u'e
ui
u'i
uo
u'o
uu
u'u
va
va'a
va'e
vai
va'i
va'o
vau
va'u
ve
ve'a
ve'e
vei
ve'i
ve'o
ve'u
vi
vi'a
vi'e
vi'i
vi'o
vi'u
vo
vo'a
vo'e
voi
vo'i
vo'o
vo'u
vu
vu'a
vu'e
vu'i
vu'o
vu'u
vy
xa
xe
xi
xo
xu
xy
y
y'y
za
za'a
za'e
zai
za'i
za'o
zau
za'u
ze
ze'a
ze'e
zei
ze'i
ze'o
ze'u
zi
zi'e
zi'o
zo
zo'a
zo'e
zoi
zo'i
zo'o
zo'u
zu
zu'a
zu'e
zu'i
zu'o
zu'u
zy
